symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
GODIGIT,248.47,V+W,2.15,above,253.8,248.47,246.63,248.47,244.8,1.487,97.3,0.028,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
PIDILITIND,1530.75,V+W,-1.24,below,1511.7,1530.75,1539.5,1548.25,1530.75,1.137,98.1,0.028,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
ABDL,703.43,V+W,2.01,above,717.55,703.43,694.72,703.43,686.0,2.509,98.9,0.066,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
STARHEALTH,544.93,V+W,2.46,above,558.35,544.93,539.47,544.93,534.0,2.027,99.2,0.023,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
POLICYBZR,1288.95,V+W,-9.63,below,1164.8,1288.95,1370.7,1452.45,1288.95,11.928,99.7,0.037,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
INFY,1014.00,V,-1.5,below,998.8,1014.0,1014.17,1014.33,1014.0,0.033,5.5,0.029,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
LUPIN,2099.65,V,-0.67,below,2085.5,2099.65,2100.0,2100.35,2099.65,0.033,6.8,0.024,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
BHARTIHEXA,1507.58,V,-1.8,below,1480.4,1507.58,1507.97,1508.35,1507.58,0.051,7.7,0.038,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
GRAPHITE,814.48,V,0.99,above,822.5,814.48,814.25,814.48,814.02,0.055,8.2,0.024,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
UTIAMC,908.20,V,-0.57,below,903.0,908.2,908.5,908.8,908.2,0.066,10.7,0.031,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
KAYNES,3504.88,V,4.14,above,3650.0,3504.88,3500.27,3504.88,3495.65,0.264,19.2,0.049,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
MARICO,824.98,V,-0.36,below,822.0,824.98,825.42,825.85,824.98,0.105,19.7,0.02,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
MPHASIS,2249.97,V,-0.73,below,2233.5,2249.97,2251.73,2253.5,2249.97,0.157,21.9,0.026,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
INDUSTOWER,380.13,V,-1.61,below,374.0,380.13,380.42,380.7,380.13,0.149,25.2,0.019,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
IDBI,82.50,V,2.13,above,84.26,82.5,82.4,82.5,82.3,0.243,26.6,0.033,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
OLAELEC,42.59,V,-9.91,below,38.37,42.59,42.66,42.73,42.59,0.328,26.6,0.064,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
JBMA,593.72,V,-1.09,below,587.25,593.72,594.38,595.05,593.72,0.224,27.9,0.023,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
KIMS,801.33,V,-2.74,below,779.35,801.33,802.22,803.1,801.33,0.22,28.8,0.032,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
ZYDUSLIFE,1178.90,V,2.04,above,1202.9,1178.9,1177.5,1178.9,1176.1,0.238,36.7,0.023,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
DELHIVERY,426.92,V,-1.74,below,419.5,426.92,427.53,428.15,426.92,0.288,40.0,0.019,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
HSCL,673.68,V,0.88,above,679.6,673.68,672.47,673.68,671.25,0.362,40.3,0.031,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
SUNDARMFIN,4598.67,V,-1.93,below,4509.9,4598.67,4605.33,4612.0,4598.67,0.29,40.8,0.027,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
EIHOTEL,297.33,V,-0.85,below,294.8,297.33,297.77,298.2,297.33,0.291,42.7,0.03,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
DOMS,2111.65,V,-1.29,below,2084.4,2111.65,2114.3,2116.95,2111.65,0.251,43.0,0.027,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
RAILTEL,262.14,V,-0.7,below,260.3,262.14,262.73,263.32,262.14,0.45,49.6,0.041,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
NEWGEN,494.93,V,-1.79,below,486.05,494.93,496.25,497.57,494.93,0.534,52.3,0.03,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
HDBFS,662.12,V,-2.13,below,648.0,662.12,663.25,664.38,662.12,0.339,55.8,0.023,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
GLENMARK,2435.60,V,-2.3,below,2379.6,2435.6,2440.8,2446.0,2435.6,0.426,57.0,0.033,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
ALKEM,5335.42,V,-1.59,below,5250.5,5335.42,5344.83,5354.25,5335.42,0.352,59.2,0.022,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
TATATECH,719.32,V,-2.3,below,702.8,719.32,720.88,722.45,719.32,0.435,59.5,0.037,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
PFC,340.08,V,-0.61,below,338.0,340.08,340.82,341.55,340.08,0.43,60.5,0.032,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
TARIL,281.47,V,-1.25,below,277.95,281.47,282.53,283.6,281.47,0.755,60.8,0.055,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
MSUMI,34.80,V,-1.43,below,34.3,34.8,34.89,34.99,34.8,0.554,61.9,0.03,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
ADANIENSOL,1344.75,V,-0.46,below,1338.6,1344.75,1349.0,1353.25,1344.75,0.63,63.8,0.03,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
TIINDIA,2548.00,V,-1.26,below,2516.0,2548.0,2555.5,2563.0,2548.0,0.587,65.8,0.038,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
OLECTRA,1248.12,V,-3.09,below,1209.5,1248.12,1252.23,1256.35,1248.12,0.657,67.9,0.033,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
LINDEINDIA,6214.33,V,-1.2,below,6139.5,6214.33,6232.17,6250.0,6214.33,0.572,68.5,0.024,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
MEESHO,233.84,V,-6.85,below,217.82,233.84,234.83,235.83,233.84,0.849,70.0,0.03,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
VMM,105.82,V,-2.29,below,103.4,105.82,106.18,106.53,105.82,0.675,73.7,0.032,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
AWL,185.30,V,-0.43,below,184.51,185.3,185.91,186.51,185.3,0.654,78.9,0.046,1,2026-09-24,2026-09-25,True,False,5.0,2026-09-25T15:22:48+05:30
