symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
JUBLPHARMA,977.43,V+N,-3.5,below,943.2,977.43,977.45,977.48,977.43,0.005,1.9,0.022,1,2026-07-29,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
SRF,2643.5,V+N,-0.48,below,2630.9,2643.5,2643.6,2643.7,2643.5,0.008,1.9,0.031,1,2026-07-29,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
AIIL,545.88,V+N,0.33,above,547.65,545.88,545.85,545.88,545.83,0.009,2.5,0.056,1,2026-07-30,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
BHEL,402.96,V+N,1.7,above,409.8,402.96,402.92,402.96,402.88,0.021,3.3,0.051,1,2026-07-30,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
MGL,1118.33,V+N,1.42,above,1134.2,1118.33,1118.17,1118.33,1118.0,0.03,3.8,0.039,1,2026-07-30,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
HDFCAMC,2542.75,V+N,2.32,above,2601.7,2542.75,2542.47,2542.75,2542.18,0.022,4.1,0.025,1,2026-07-29,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
WHIRLPOOL,789.3,V+N,2.01,above,805.2,789.3,789.15,789.3,789.0,0.038,4.1,0.043,1,2026-07-29,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
SCHAEFFLER,4160.5,V+N,-2.42,below,4060.0,4160.5,4161.2,4161.9,4160.5,0.034,4.4,0.035,1,2026-07-29,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
BIOCON,431.17,V+N,-1.12,below,426.35,431.17,431.23,431.3,431.17,0.031,4.7,0.032,1,2026-07-29,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
TATAPOWER,376.07,V+N,1.08,above,380.15,376.07,376.03,376.07,375.99,0.022,4.7,0.023,1,2026-07-30,2026-07-31,True,True,5.0,2026-07-31T13:08:43+05:30
DIVISLAB,7730.83,V+W,4.16,above,8052.5,7730.83,7677.17,7730.83,7623.5,1.398,98.9,0.024,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
SONACOMS,756.34,V+W,1.8,above,769.95,756.34,748.93,756.34,741.52,1.978,98.9,0.034,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
DCMSHRIRAM,1070.95,V+W,-3.14,below,1037.3,1070.95,1090.7,1110.45,1070.95,3.622,99.2,0.023,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
PCBL,333.48,V+W,-4.43,below,318.7,333.48,338.95,344.43,333.48,3.231,99.2,0.05,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
J&KBANK,159.0,V+W,-1.9,below,155.98,159.0,163.37,167.74,159.0,5.352,99.7,0.029,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
KIMS,798.5,V,1.31,above,808.95,798.5,798.33,798.5,798.17,0.042,5.2,0.04,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
ONGC,241.63,V,-0.28,below,240.95,241.63,241.68,241.72,241.63,0.037,6.0,0.03,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
CAPLIPOINT,2613.88,V,-3.78,below,2515.0,2613.88,2614.57,2615.25,2613.88,0.052,7.1,0.037,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
BANDHANBNK,172.83,V,1.0,above,174.57,172.83,172.8,172.83,172.76,0.044,7.7,0.027,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
JPPOWER,17.04,V,7.72,above,18.35,17.04,17.03,17.04,17.02,0.059,8.2,0.037,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
GRSE,2591.2,V,0.89,above,2614.2,2591.2,2589.53,2591.2,2587.87,0.129,8.8,0.067,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
AUBANK,1030.45,V,1.1,above,1041.8,1030.45,1030.2,1030.45,1029.95,0.048,10.1,0.016,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
BELRISE,230.82,V,3.76,above,239.5,230.82,230.71,230.82,230.59,0.103,11.6,0.037,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
GODREJCP,1076.97,V,-0.46,below,1072.0,1076.97,1077.43,1077.9,1076.97,0.087,12.3,0.037,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
FORCEMOT,17601.5,V,3.05,above,18139.0,17601.5,17585.0,17601.5,17568.5,0.188,13.4,0.052,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
JSWDULUX,2969.8,V,-0.97,below,2940.9,2969.8,2971.03,2972.27,2969.8,0.083,13.7,0.022,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
VOLTAS,1312.57,V,2.3,above,1342.7,1312.57,1311.83,1312.57,1311.1,0.112,14.0,0.038,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
RHIM,395.0,V,-1.92,below,387.4,395.0,395.22,395.43,395.0,0.11,14.2,0.029,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
JBMA,677.05,V,-1.59,below,666.3,677.05,677.52,677.98,677.05,0.138,14.8,0.033,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
GROWW,192.75,V,1.12,above,194.9,192.75,192.61,192.75,192.47,0.145,15.0,0.034,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
ABCAPITAL,395.0,V,3.85,above,410.2,395.0,394.68,395.0,394.37,0.16,15.3,0.038,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
BAJAJFINSV,1926.95,V,4.8,above,2019.4,1926.95,1926.1,1926.95,1925.25,0.088,15.6,0.02,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
AIAENG,4634.75,V,-3.14,below,4489.0,4634.75,4637.67,4640.58,4634.75,0.126,18.1,0.041,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
EMCURE,1902.13,V,4.72,above,1992.0,1902.13,1900.57,1902.13,1899.0,0.165,18.9,0.031,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
SPLPETRO,734.74,V,-3.41,below,709.7,734.74,735.38,736.02,734.74,0.175,19.2,0.039,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
BAJFINANCE,1052.85,V,8.29,above,1140.1,1052.85,1052.2,1052.85,1051.55,0.124,20.5,0.025,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
HYUNDAI,2016.78,V,8.42,above,2186.5,2016.78,2015.37,2016.78,2013.95,0.141,21.4,0.027,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
ITC,286.37,V,-1.28,below,282.7,286.37,286.48,286.6,286.37,0.081,21.6,0.021,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
ALKEM,5682.75,V,1.46,above,5765.5,5682.75,5679.33,5682.75,5675.92,0.12,24.1,0.026,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
INDIANB,826.54,V,1.14,above,835.95,826.54,825.83,826.54,825.12,0.172,24.7,0.029,1,2026-07-30,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
UBL,1439.3,V,0.62,above,1448.2,1439.3,1438.4,1439.3,1437.5,0.125,25.8,0.028,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
COHANCE,429.48,V,-1.26,below,424.05,429.48,430.08,430.69,429.48,0.283,27.7,0.022,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
DALBHARAT,1824.35,V,-0.79,below,1810.0,1824.35,1825.7,1827.05,1824.35,0.148,28.8,0.028,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
LAURUSLABS,1779.57,V,2.18,above,1818.4,1779.57,1777.83,1779.57,1776.1,0.195,28.8,0.018,1,2026-07-29,2026-07-31,True,False,5.0,2026-07-31T13:08:43+05:30
