symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
COCHINSHIP,1463.0,V+N,1.67,above,1487.5,1463.0,1463.0,1463.0,1463.0,0.0,0.0,0.041,1,2026-09-02,2026-09-03,True,True,5.0,2026-09-03T14:46:19+05:30
PERSISTENT,5689.25,V+N,-1.0,below,5632.5,5689.25,5689.5,5689.75,5689.25,0.009,2.5,0.016,1,2026-09-02,2026-09-03,True,True,5.0,2026-09-03T14:46:19+05:30
SBFC,99.22,V+N,0.91,above,100.12,99.22,99.21,99.22,99.19,0.024,4.1,0.03,1,2026-09-02,2026-09-03,True,True,5.0,2026-09-03T14:46:19+05:30
JSWENERGY,535.22,V+W,0.61,above,538.5,535.22,530.65,535.22,526.07,1.724,99.5,0.024,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
TATAPOWER,361.19,V+W,1.14,above,365.3,361.19,358.38,361.19,355.57,1.567,99.7,0.023,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
LT,3980.5,V,0.33,above,3993.6,3980.5,3980.0,3980.5,3979.5,0.025,5.2,0.024,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
BRIGADE,640.3,V,7.43,above,687.9,640.3,640.2,640.3,640.1,0.031,6.8,0.024,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
OLECTRA,1238.58,V,1.0,above,1251.0,1238.58,1238.27,1238.58,1237.95,0.051,7.1,0.033,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
NATIONALUM,370.5,V,0.42,above,372.05,370.5,370.33,370.5,370.17,0.09,9.0,0.041,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
JWL,239.7,V,0.68,above,241.34,239.7,239.59,239.7,239.48,0.092,9.9,0.042,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
ATHERENERG,1687.07,V,-2.98,below,1636.8,1687.07,1688.03,1689.0,1687.07,0.115,10.7,0.065,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
CHAMBLFERT,411.28,V,1.5,above,417.45,411.28,411.12,411.28,410.95,0.081,11.0,0.035,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
TATACAP,364.64,V,1.61,above,370.5,364.64,364.53,364.64,364.43,0.059,11.2,0.016,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
DEEPAKFERT,1417.45,V,-4.17,below,1358.4,1417.45,1418.2,1418.95,1417.45,0.106,11.8,0.044,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
ITCHOTELS,158.55,V,1.07,above,160.25,158.55,158.48,158.55,158.4,0.097,12.3,0.038,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
GMDCLTD,559.2,V,1.28,above,566.35,559.2,558.68,559.2,558.17,0.185,13.7,0.073,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
GVT&D,4237.62,V,2.57,above,4346.4,4237.62,4235.23,4237.62,4232.85,0.113,14.2,0.025,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
AAVAS,1260.9,V,2.13,above,1287.7,1260.9,1260.17,1260.9,1259.43,0.116,15.3,0.027,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
ICICIBANK,1428.35,V,0.52,above,1435.8,1428.35,1427.73,1428.35,1427.12,0.086,17.3,0.024,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
DATAPATTNS,4510.73,V,1.7,above,4587.6,4510.73,4504.77,4510.73,4498.8,0.265,17.5,0.075,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
MMTC,62.04,V,0.61,above,62.42,62.04,61.99,62.04,61.93,0.183,17.5,0.051,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
KARURVYSYA,347.43,V,1.04,above,351.05,347.43,347.15,347.43,346.88,0.158,18.4,0.041,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
ITI,267.48,V,0.66,above,269.25,267.48,267.25,267.48,267.02,0.168,18.6,0.033,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
COROMANDEL,1912.98,V,0.63,above,1925.0,1912.98,1911.37,1912.98,1909.75,0.169,19.2,0.033,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
ABREL,1334.5,V,3.3,above,1378.5,1334.5,1333.37,1334.5,1332.23,0.17,19.7,0.024,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
RVNL,205.81,V,1.79,above,209.48,205.81,205.61,205.81,205.42,0.19,20.5,0.034,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
INDUSINDBK,977.15,V,2.37,above,1000.3,977.15,976.3,977.15,975.45,0.174,23.3,0.027,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
IREDA,112.87,V,0.38,above,113.29,112.87,112.76,112.87,112.66,0.186,23.8,0.047,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
MAZDOCK,2456.5,V,0.61,above,2471.5,2456.5,2454.0,2456.5,2451.5,0.204,24.9,0.042,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
ANGELONE,278.85,V,2.21,above,285.0,278.85,278.45,278.85,278.05,0.287,25.2,0.029,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
USHAMART,503.2,V,1.91,above,512.8,503.2,502.67,503.2,502.13,0.212,26.6,0.035,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
ACE,1087.55,V,4.89,above,1140.7,1087.55,1086.2,1087.55,1084.86,0.248,28.2,0.049,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
JUBLINGREA,686.25,V,0.61,above,690.45,686.25,685.37,686.25,684.48,0.258,28.5,0.034,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
NHPC,75.86,V,0.18,above,76.0,75.86,75.79,75.86,75.72,0.189,28.5,0.031,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
HUDCO,178.13,V,1.54,above,180.88,178.13,177.92,178.13,177.7,0.244,28.8,0.035,1,2026-09-02,2026-09-03,True,False,5.0,2026-09-03T14:46:19+05:30
