symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
GABRIEL,1420.55,V+N,-5.97,below,1335.8,1420.55,1420.57,1420.58,1420.55,0.002,2.2,0.033,1,2026-08-21,2026-08-25,True,True,5.0,2026-08-25T10:57:06+05:30
IDEA,14.07,V+N,4.7,above,14.73,14.07,14.07,14.07,14.07,0.024,3.0,0.044,1,2026-08-24,2026-08-25,True,True,5.0,2026-08-25T10:57:06+05:30
VEDL,276.93,V+N,-0.93,below,274.35,276.93,276.95,276.98,276.93,0.018,3.3,0.026,1,2026-08-24,2026-08-25,True,True,5.0,2026-08-25T10:57:06+05:30
SUPREMEIND,3640.40,V+N,-1.54,below,3584.3,3640.4,3640.93,3641.47,3640.4,0.029,4.1,0.037,1,2026-08-21,2026-08-25,True,True,5.0,2026-08-25T10:57:06+05:30
ULTRACEMCO,11571.00,V+N,-0.52,below,11511.0,11571.0,11572.0,11573.0,11571.0,0.017,4.1,0.02,1,2026-08-21,2026-08-25,True,True,5.0,2026-08-25T10:57:06+05:30
JKTYRE,374.85,V+N,1.53,above,380.6,374.85,374.8,374.85,374.75,0.027,4.4,0.034,1,2026-08-21,2026-08-25,True,True,5.0,2026-08-25T10:57:06+05:30
LTFOODS,459.05,V+N,-3.53,below,442.85,459.05,459.1,459.15,459.05,0.022,4.4,0.036,1,2026-08-24,2026-08-25,True,True,5.0,2026-08-25T10:57:06+05:30
UCOBANK,25.89,V,0.62,above,26.05,25.89,25.89,25.89,25.88,0.013,5.5,0.013,1,2026-08-24,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
HINDZINC,603.52,V,-2.37,below,589.25,603.52,603.68,603.84,603.52,0.052,5.8,0.041,1,2026-08-24,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
HDFCBANK,729.08,V,-0.16,below,727.95,729.08,729.17,729.25,729.08,0.023,6.0,0.019,1,2026-08-24,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
GESHIP,1332.67,V,1.26,above,1349.5,1332.67,1332.33,1332.67,1332.0,0.05,6.6,0.034,1,2026-08-24,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
BLUEDART,5080.50,V,-1.52,below,5003.5,5080.5,5081.33,5082.17,5080.5,0.033,7.7,0.017,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
NH,1815.27,V,3.27,above,1874.7,1815.27,1814.73,1815.27,1814.2,0.059,8.5,0.034,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
GVT&D,4178.88,V,-2.36,below,4080.4,4178.88,4179.87,4180.85,4178.88,0.047,8.8,0.022,1,2026-08-24,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
MANKIND,2384.80,V,-1.85,below,2340.8,2384.8,2385.6,2386.4,2384.8,0.067,8.8,0.038,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
DEEPAKFERT,1451.00,V,1.19,above,1468.2,1451.0,1450.4,1451.0,1449.8,0.083,9.3,0.046,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
CONCORDBIO,1569.50,V,-2.52,below,1529.9,1569.5,1570.1,1570.7,1569.5,0.076,9.6,0.022,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
NTPC,339.58,V,-0.67,below,337.3,339.58,339.67,339.75,339.58,0.049,10.4,0.015,1,2026-08-24,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
ITI,279.38,V,-0.74,below,277.3,279.38,279.5,279.62,279.38,0.089,10.7,0.035,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
ONESOURCE,1535.77,V,-0.66,below,1525.6,1535.77,1536.53,1537.3,1535.77,0.1,10.7,0.052,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
BPCL,310.90,V,0.19,above,311.5,310.9,310.8,310.9,310.7,0.064,11.8,0.021,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
CRAFTSMAN,10629.00,V,-1.3,below,10490.5,10629.0,10634.17,10639.33,10629.0,0.097,11.8,0.053,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
INDIACEM,371.06,V,-1.0,below,367.35,371.06,371.22,371.38,371.06,0.085,13.2,0.031,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
ZENTEC,1923.10,V,-2.99,below,1865.6,1923.1,1924.17,1925.23,1923.1,0.111,13.2,0.017,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
HDBFS,695.20,V,-1.18,below,687.0,695.2,695.42,695.63,695.2,0.062,13.3,0.023,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
SBFC,93.81,V,-2.13,below,91.81,93.81,93.85,93.89,93.81,0.089,13.4,0.032,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
MEDANTA,1407.85,V,-0.42,below,1402.0,1407.85,1408.47,1409.08,1407.85,0.088,14.0,0.028,1,2026-08-21,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
ONGC,236.63,V,-0.42,below,235.63,236.63,236.71,236.79,236.63,0.066,14.0,0.029,1,2026-08-24,2026-08-25,True,False,5.0,2026-08-25T10:57:06+05:30
