symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
DEEPAKNTR,1586.22,V+N,1.93,above,1616.9,1586.22,1586.13,1586.22,1586.05,0.011,3.3,0.028,1,2026-09-21,2026-09-22,True,True,5.0,2026-09-22T15:04:07+05:30
DRREDDY,1198.45,V+N,0.94,above,1209.7,1198.45,1198.4,1198.45,1198.35,0.008,3.8,0.015,1,2026-09-21,2026-09-22,True,True,5.0,2026-09-22T15:04:07+05:30
MCX,3211.75,V+N,1.52,above,3260.6,3211.75,3210.83,3211.75,3209.92,0.057,4.9,0.057,1,2026-09-21,2026-09-22,True,True,5.0,2026-09-22T15:04:07+05:30
MANKIND,2417.70,V+W,2.87,above,2487.2,2417.7,2397.6,2417.7,2377.5,1.677,98.9,0.038,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
PATANJALI,391.75,V+W,3.15,above,404.1,391.75,387.3,391.75,382.85,2.298,99.2,0.015,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
GROWW,190.63,V,-0.57,below,189.55,190.63,190.67,190.71,190.63,0.044,6.0,0.033,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
LLOYDSME,1826.25,V,1.48,above,1853.3,1826.25,1825.7,1826.25,1825.15,0.06,7.7,0.033,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
APTUS,237.49,V,2.03,above,242.31,237.49,237.41,237.49,237.34,0.06,10.7,0.026,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
HDFCLIFE,559.19,V,0.09,above,559.7,559.19,558.98,559.19,558.78,0.075,14.2,0.02,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
PAGEIND,35932.50,V,3.46,above,37175.0,35932.5,35915.0,35932.5,35897.5,0.097,17.3,0.025,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
PCBL,345.25,V,0.8,above,348.0,345.25,344.95,345.25,344.65,0.174,19.2,0.048,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
SOBHA,1216.90,V,1.42,above,1234.2,1216.9,1215.93,1216.9,1214.97,0.159,21.1,0.028,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
ENRIN,3224.00,V,0.83,above,3250.7,3224.0,3220.9,3224.0,3217.8,0.192,23.4,0.025,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
OLAELEC,36.94,V,2.27,above,37.78,36.94,36.88,36.94,36.83,0.316,25.2,0.064,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
HINDCOPPER,503.33,V,1.02,above,508.45,503.33,502.72,503.33,502.1,0.245,25.8,0.032,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
BANDHANBNK,178.81,V,3.19,above,184.52,178.81,178.63,178.81,178.44,0.207,26.0,0.026,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
HFCL,213.69,V,3.42,above,221.0,213.69,213.27,213.69,212.85,0.395,31.2,0.031,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
OLECTRA,1204.10,V,1.18,above,1218.3,1204.1,1202.4,1204.1,1200.7,0.283,31.8,0.033,1,2026-09-21,2026-09-22,True,False,5.0,2026-09-22T15:04:07+05:30
