symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
BOSCHLTD,47250.00,V+N,-0.98,below,46785.0,47250.0,47250.0,47250.0,47250.0,0.0,0.0,0.029,1,2026-09-02,2026-09-04,True,True,5.0,2026-09-04T14:38:30+05:30
ABSLAMC,1021.98,V+N,3.43,above,1057.0,1021.98,1021.97,1021.98,1021.95,0.003,1.4,0.032,1,2026-09-02,2026-09-04,True,True,5.0,2026-09-04T14:38:30+05:30
JBMA,621.52,V+N,0.55,above,624.95,621.52,621.52,621.52,621.51,0.003,1.9,0.032,1,2026-09-02,2026-09-04,True,True,5.0,2026-09-04T14:38:30+05:30
HBLENGINE,665.47,V+N,4.33,above,694.25,665.47,665.38,665.47,665.3,0.025,3.6,0.035,1,2026-09-03,2026-09-04,True,True,5.0,2026-09-04T14:38:30+05:30
CENTRALBK,30.78,V+N,1.04,above,31.1,30.78,30.78,30.78,30.77,0.022,3.8,0.032,1,2026-09-03,2026-09-04,True,True,5.0,2026-09-04T14:38:30+05:30
RVNL,209.36,V+N,1.11,above,211.69,209.36,209.34,209.36,209.32,0.019,3.8,0.034,1,2026-09-03,2026-09-04,True,True,5.0,2026-09-04T14:38:30+05:30
CHAMBLFERT,418.24,V+N,0.34,above,419.65,418.24,418.18,418.24,418.12,0.028,4.1,0.035,1,2026-09-03,2026-09-04,True,True,5.0,2026-09-04T14:38:30+05:30
CGCL,268.78,V+W,2.13,above,274.5,268.78,266.05,268.78,263.33,2.047,98.1,0.058,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
ASAHIINDIA,950.82,V,0.65,above,957.0,950.82,950.6,950.82,950.38,0.047,6.0,0.036,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
BAJAJHFL,82.99,V,0.07,above,83.04,82.99,82.97,82.99,82.96,0.028,6.3,0.025,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
MRF,131782.50,V,-1.41,below,129930.0,131782.5,131815.0,131847.5,131782.5,0.049,7.7,0.035,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
EMCURE,1853.05,V,3.85,above,1924.4,1853.05,1852.4,1853.05,1851.75,0.07,7.9,0.031,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TBOTEK,1699.38,V,0.38,above,1705.9,1699.38,1698.77,1699.38,1698.15,0.073,9.9,0.034,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
GROWW,190.14,V,2.08,above,194.1,190.14,190.04,190.14,189.94,0.105,11.2,0.035,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
RAINBOW,1432.17,V,0.71,above,1442.4,1432.17,1431.33,1432.17,1430.5,0.116,14.2,0.037,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
AAVAS,1260.90,V,3.18,above,1301.0,1260.9,1260.17,1260.9,1259.43,0.116,15.3,0.027,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
MAZDOCK,2478.40,V,0.75,above,2497.0,2478.4,2476.93,2478.4,2475.47,0.118,15.3,0.043,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
VMM,107.87,V,-1.35,below,106.41,107.87,107.93,107.99,107.87,0.12,17.5,0.028,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
ABREL,1334.50,V,2.97,above,1374.1,1334.5,1333.37,1334.5,1332.23,0.17,19.7,0.024,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TEJASNET,566.83,V,8.85,above,617.0,566.83,566.22,566.83,565.6,0.218,21.1,0.046,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
AFFLE,1517.70,V,5.66,above,1603.6,1517.7,1516.2,1517.7,1514.7,0.198,21.9,0.034,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
CGPOWER,877.07,V,1.96,above,894.3,877.07,876.38,877.07,875.7,0.156,22.5,0.035,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SWIGGY,268.97,V,5.33,above,283.3,268.97,268.63,268.97,268.3,0.248,22.7,0.053,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
INDUSINDBK,977.15,V,3.08,above,1007.2,977.15,976.3,977.15,975.45,0.174,23.3,0.027,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
BLS,236.04,V,0.75,above,237.81,236.04,235.77,236.04,235.5,0.233,24.9,0.032,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SCI,293.57,V,0.45,above,294.9,293.57,293.19,293.57,292.8,0.261,24.9,0.055,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
CANHLIFE,153.27,V,3.19,above,158.16,153.27,153.12,153.27,152.96,0.2,25.9,0.016,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
COCHINSHIP,1484.82,V,1.76,above,1510.9,1484.82,1482.93,1484.82,1481.05,0.254,26.6,0.042,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
DELHIVERY,456.10,V,0.66,above,459.1,456.1,455.67,456.1,455.23,0.19,27.1,0.019,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
WHIRLPOOL,799.29,V,1.89,above,814.4,799.29,798.38,799.29,797.48,0.228,27.9,0.045,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
NHPC,75.86,V,0.64,above,76.35,75.86,75.79,75.86,75.72,0.189,28.5,0.031,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
MARICO,825.32,V,-1.09,below,816.3,825.32,826.02,826.71,825.32,0.167,29.3,0.018,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
HAL,4780.00,V,2.6,above,4904.2,4780.0,4775.2,4780.0,4770.4,0.201,30.7,0.038,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SPLPETRO,720.84,V,7.34,above,773.75,720.84,719.83,720.84,718.83,0.28,31.8,0.038,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
GALLANTT,554.46,V,3.2,above,572.2,554.46,553.52,554.46,552.58,0.34,32.3,0.062,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
HONAUT,35229.17,V,1.27,above,35675.0,35229.17,35193.33,35229.17,35157.5,0.204,32.3,0.027,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
EICHERMOT,7667.75,V,-0.43,below,7635.0,7667.75,7675.17,7682.58,7667.75,0.193,35.1,0.025,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
CIPLA,1409.10,V,-2.07,below,1379.9,1409.1,1410.33,1411.57,1409.1,0.175,35.6,0.023,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SOBHA,1235.45,V,0.93,above,1247.0,1235.45,1233.67,1235.45,1231.88,0.289,36.2,0.029,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
ANGELONE,285.39,V,4.72,above,298.85,285.39,284.78,285.39,284.18,0.427,38.9,0.036,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
DIXON,14471.67,V,-1.81,below,14210.0,14471.67,14498.33,14525.0,14471.67,0.368,40.3,0.06,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TORNTPOWER,1246.75,V,4.79,above,1306.5,1246.75,1244.6,1246.75,1242.45,0.345,40.3,0.035,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
WOCKPHARMA,1945.97,V,7.56,above,2093.0,1945.97,1941.33,1945.97,1936.7,0.477,40.3,0.06,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
IGL,148.60,V,6.61,above,158.43,148.6,148.38,148.6,148.16,0.299,41.6,0.046,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
NEWGEN,521.00,V,1.01,above,526.25,521.0,519.88,521.0,518.77,0.43,42.7,0.034,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
AIIL,517.77,V,0.63,above,521.05,517.77,516.48,517.77,515.2,0.497,43.3,0.055,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
BIKAJI,591.00,V,-0.91,below,585.6,591.0,591.8,592.6,591.0,0.27,43.3,0.018,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
ELGIEQUIP,620.48,V,2.84,above,638.1,620.48,619.23,620.48,617.99,0.401,43.6,0.045,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
KIMS,757.65,V,0.94,above,764.8,757.65,756.32,757.65,754.98,0.353,43.8,0.04,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
AXISBANK,1258.45,V,1.66,above,1279.3,1258.45,1256.93,1258.45,1255.42,0.241,45.2,0.024,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
MFSL,1512.75,V,2.52,above,1550.8,1512.75,1510.17,1512.75,1507.58,0.342,48.2,0.019,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TATACHEM,638.00,V,-1.79,below,626.6,638.0,639.12,640.23,638.0,0.349,48.2,0.021,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SCHNEIDER,1187.37,V,2.98,above,1222.8,1187.37,1183.73,1187.37,1180.1,0.614,49.0,0.031,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TRITURBINE,570.59,V,0.92,above,575.85,570.59,569.48,570.59,568.38,0.389,49.9,0.022,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TITAGARH,842.03,V,2.96,above,866.95,842.03,839.87,842.03,837.7,0.516,50.7,0.051,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
HINDZINC,591.75,V,1.38,above,599.9,591.75,590.48,591.75,589.22,0.429,51.0,0.044,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
ECLERX,1977.88,V,-2.85,below,1921.5,1977.88,1984.07,1990.25,1977.88,0.623,51.5,0.05,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
CANFINHOME,793.70,V,1.59,above,806.3,793.7,792.1,793.7,790.5,0.404,51.8,0.02,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
POLYCAB,8824.50,V,-5.96,below,8298.5,8824.5,8841.5,8858.5,8824.5,0.385,52.3,0.035,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
MOTILALOFS,1014.77,V,2.02,above,1035.3,1014.77,1011.93,1014.77,1009.1,0.56,54.5,0.045,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
JKCEMENT,5015.50,V,0.72,above,5051.5,5015.5,5003.5,5015.5,4991.5,0.48,55.3,0.035,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
CONCOR,509.78,V,-0.78,below,505.8,509.78,510.7,511.62,509.78,0.362,55.9,0.037,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
MAPMYINDIA,984.83,V,-1.1,below,974.0,984.83,987.07,989.3,984.83,0.453,55.9,0.031,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
UCOBANK,24.55,V,1.28,above,24.86,24.55,24.49,24.55,24.44,0.422,56.7,0.013,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SJVN,64.32,V,0.78,above,64.82,64.32,64.19,64.32,64.05,0.415,58.1,0.027,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SUNPHARMA,1918.97,V,-0.99,below,1899.9,1918.97,1921.93,1924.9,1918.97,0.309,58.9,0.021,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
CREDITACC,1433.18,V,0.92,above,1446.3,1433.18,1428.97,1433.18,1424.75,0.59,59.5,0.042,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
RRKABEL,2625.12,V,-7.49,below,2428.6,2625.12,2632.53,2639.95,2625.12,0.563,59.7,0.058,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
ALKEM,5219.50,V,-0.45,below,5196.0,5219.5,5229.0,5238.5,5219.5,0.363,61.4,0.024,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TIMKEN,3143.23,V,-0.74,below,3120.0,3143.23,3151.97,3160.7,3143.23,0.554,63.6,0.047,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
DCMSHRIRAM,1030.92,V,-1.13,below,1019.3,1030.92,1033.83,1036.75,1030.92,0.564,63.8,0.024,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
CDSL,1390.05,V,0.31,above,1394.4,1390.05,1386.1,1390.05,1382.15,0.57,66.0,0.036,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
BANKINDIA,142.67,V,1.5,above,144.81,142.67,142.23,142.67,141.79,0.612,66.8,0.029,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
AADHARHFC,474.18,V,1.62,above,481.85,474.18,472.97,474.18,471.75,0.514,67.1,0.025,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
KEI,5275.75,V,-7.51,below,4879.5,5275.75,5292.83,5309.92,5275.75,0.646,68.8,0.026,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
ABLBL,83.65,V,3.27,above,86.39,83.65,83.36,83.65,83.07,0.7,69.7,0.054,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
HAVELLS,1195.83,V,-3.57,below,1153.1,1195.83,1198.67,1201.5,1195.83,0.473,71.8,0.019,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
PIIND,2386.52,V,3.81,above,2477.4,2386.52,2380.03,2386.52,2373.55,0.545,72.9,0.017,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
TATACAP,370.83,V,1.15,above,375.1,370.83,369.8,370.83,368.77,0.554,73.3,0.017,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
SYRMA,1446.12,V,0.61,above,1455.0,1446.12,1439.43,1446.12,1432.75,0.929,73.4,0.047,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
COFORGE,1964.00,V,0.37,above,1971.2,1964.0,1956.2,1964.0,1948.4,0.797,74.2,0.033,1,2026-09-03,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
OBEROIRLTY,1860.32,V,1.33,above,1885.0,1860.32,1854.63,1860.32,1848.95,0.613,74.5,0.044,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
BLUESTARCO,1461.75,V,1.49,above,1483.6,1461.75,1456.27,1461.75,1450.78,0.753,75.6,0.05,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
HYUNDAI,2146.90,V,3.03,above,2212.0,2146.9,2139.4,2146.9,2131.9,0.701,76.4,0.027,1,2026-09-02,2026-09-04,True,False,5.0,2026-09-04T14:38:30+05:30
