symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
BRIGADE,569.70,V+N,-1.31,below,562.25,569.7,569.7,569.7,569.7,0.0,0.0,0.018,1,2026-07-13,2026-07-15,True,True,5.0,2026-07-15T12:37:00+05:30
DOMS,2359.62,V+N,-2.63,below,2297.5,2359.62,2359.73,2359.85,2359.62,0.01,2.2,0.028,1,2026-07-13,2026-07-15,True,True,5.0,2026-07-15T12:37:00+05:30
APTUS,289.55,V+N,1.93,above,295.15,289.55,289.53,289.55,289.52,0.012,2.7,0.024,1,2026-07-13,2026-07-15,True,True,5.0,2026-07-15T12:37:00+05:30
BIKAJI,643.33,V+N,-1.14,below,636.0,643.33,643.37,643.41,643.33,0.013,3.0,0.02,1,2026-07-13,2026-07-15,True,True,5.0,2026-07-15T12:37:00+05:30
IDBI,86.56,V+N,1.08,above,87.5,86.56,86.56,86.56,86.55,0.019,3.3,0.047,1,2026-07-14,2026-07-15,True,True,5.0,2026-07-15T12:37:00+05:30
SOLARINDS,18151.83,V+N,1.34,above,18395.0,18151.83,18147.67,18151.83,18143.5,0.046,3.3,0.057,1,2026-07-13,2026-07-15,True,True,5.0,2026-07-15T12:37:00+05:30
JAINREC,330.08,V+N,-2.2,below,322.8,330.08,330.15,330.23,330.08,0.045,4.1,0.052,1,2026-07-14,2026-07-15,True,True,5.0,2026-07-15T12:37:00+05:30
DIVISLAB,7145.25,V+W,2.17,above,7300.0,7145.25,7102.0,7145.25,7058.75,1.218,97.0,0.024,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T12:37:00+05:30
AEGISVOPAK,291.82,V+W,-3.02,below,283.0,291.82,295.65,299.47,291.82,2.589,97.8,0.035,1,2026-07-13,2026-07-15,True,False,5.0,2026-07-15T12:37:00+05:30
CANHLIFE,148.99,V+W,-1.2,below,147.21,148.99,150.68,152.38,148.99,2.245,98.9,0.018,1,2026-07-13,2026-07-15,True,False,5.0,2026-07-15T12:37:00+05:30
