symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
JSWCEMENT,1H,bullish,standard,138.15,137.85,0.22,5.61,137.85,133.92,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
NEWGEN,1D,bullish,standard,533.55,514.9,3.62,19.73,514.9,452.9,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
KALYANKJIL,1D,bullish,standard,474.2,448.0,5.85,6.22,448.0,335.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
CDSL,1D,bullish,standard,1422.0,1396.8,1.8,3.32,1396.8,1202.5,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
ASAHIINDIA,1D,bullish,standard,917.85,917.0,0.09,2.32,917.0,830.2,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
ARE&M,1D,bullish,standard,893.4,881.2,1.38,2.21,881.2,806.5,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
GRAVITA,1D,bullish,standard,1857.0,1821.0,1.98,2.17,1821.0,1545.9,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
J&KBANK,1D,bullish,standard,179.49,171.0,4.96,2.06,171.0,150.68,2026-07-10,20,True,True,2026-07-10T13:37:30+05:30
DLF,1D,bullish,standard,685.2,684.2,0.15,1.93,684.2,565.55,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
PAYTM,1D,bullish,standard,1337.6,1271.7,5.18,1.73,1271.7,1031.1,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
ANANTRAJ,1D,bullish,standard,585.6,572.3,2.32,1.69,572.3,511.25,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
GODREJIND,1D,bullish,standard,1292.0,1234.0,4.7,1.67,1234.0,1005.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
SAILIFE,1D,bullish,standard,1270.0,1260.0,0.79,1.67,1260.0,1177.7,2026-07-10,20,True,True,2026-07-10T13:37:30+05:30
SIGNATURE,1D,bullish,standard,843.0,823.0,2.43,1.57,823.0,730.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
SOBHA,1D,bullish,standard,1495.9,1482.72,0.89,1.53,1482.72,1272.68,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
CHOICEIN,1D,bullish,standard,838.0,837.0,0.12,1.42,837.0,661.8,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
KALYANKJIL,1W,bullish,standard,474.2,452.6,4.77,6.98,452.6,327.05,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
CHOICEIN,1W,bullish,standard,838.0,814.4,2.9,3.95,814.4,568.7,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
WELCORP,1W,bullish,standard,1607.6,1539.0,4.46,3.2,1539.0,756.49,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
CGCL,1W,bullish,standard,253.7,235.34,7.8,2.99,235.34,151.1,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
NAUKRI,1W,bullish,standard,1203.05,1149.37,4.67,2.85,1149.37,908.3,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
PHOENIXLTD,1W,bullish,standard,2144.9,2059.9,4.13,2.75,2059.9,1465.6,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
LODHA,1W,bullish,standard,1200.2,1113.2,7.82,2.53,1113.2,650.8,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
BLUEJET,1W,bullish,standard,608.95,577.95,5.36,2.08,577.95,325.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
JBCHEPHARM,1W,bullish,standard,2428.0,2371.8,2.37,1.85,2371.8,1884.61,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
DLF,1W,bullish,standard,685.2,678.0,1.06,1.75,678.0,489.4,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
DELHIVERY,1W,bullish,standard,516.5,515.0,0.29,1.75,515.0,392.45,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
GRAVITA,1W,bullish,standard,1857.0,1846.3,0.58,1.59,1846.3,1266.9,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
INDUSINDBK,1W,bullish,standard,1016.2,978.4,3.86,1.38,978.4,749.29,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
DIXON,1W,bullish,standard,13404.0,12930.0,3.67,1.38,12930.0,9600.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
RADICO,1W,bullish,standard,4089.1,3986.3,2.58,1.34,3986.3,2500.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
PRESTIGE,1W,bullish,standard,1723.4,1698.9,1.44,1.34,1698.9,1090.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
GODREJPROP,1W,bullish,standard,2115.6,2002.6,5.64,1.3,2002.6,1434.0,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
CDSL,1W,bullish,standard,1422.0,1401.1,1.49,1.27,1401.1,1116.3,2026-07-10,20,False,True,2026-07-10T13:37:30+05:30
