symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
POONAWALLA,460.95,V+N,-0.67,below,457.85,460.95,460.95,460.95,460.95,0.0,1.4,0.031,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
DELHIVERY,460.78,V+N,-1.03,below,456.05,460.78,460.78,460.79,460.78,0.004,1.6,0.019,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
IGL,149.86,V+N,-1.21,below,148.04,149.86,149.86,149.87,149.86,0.007,1.6,0.046,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
CRAFTSMAN,11249.0,V+N,-2.23,below,10998.0,11249.0,11250.33,11251.67,11249.0,0.024,2.7,0.049,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
DABUR,383.9,V+N,-1.2,below,379.3,383.9,383.93,383.97,383.9,0.017,3.0,0.032,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
SARDAEN,497.08,V+N,-1.18,below,491.2,497.08,497.12,497.15,497.08,0.013,3.0,0.027,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
LATENTVIEW,272.57,V+N,-0.17,below,272.1,272.57,272.58,272.6,272.57,0.012,4.1,0.024,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
NEWGEN,531.82,V+N,-1.79,below,522.3,531.82,531.9,531.97,531.82,0.028,4.1,0.031,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
360ONE,1165.7,V+N,-0.34,below,1161.7,1165.7,1165.8,1165.9,1165.7,0.017,4.4,0.031,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
ABREL,1356.6,V+N,-1.88,below,1331.1,1356.6,1356.73,1356.87,1356.6,0.02,4.4,0.024,1,2026-09-01,2026-09-02,True,True,5.0,2026-09-02T14:39:53+05:30
