symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
FORCEMOT,1H,bullish,standard,19112.0,18836.0,1.47,5.91,18836.0,18210.0,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
PFIZER,1H,bullish,standard,5139.3,5124.0,0.3,3.85,5124.0,4840.0,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
KPIL,1H,bullish,standard,1447.7,1439.5,0.57,3.39,1439.5,1301.0,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
DATAPATTNS,1H,bullish,standard,4531.3,4516.5,0.33,2.56,4516.5,4363.2,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
GLAXO,1H,bullish,standard,2621.6,2619.0,0.1,2.51,2619.0,2574.8,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
KAJARIACER,1H,bullish,standard,1238.0,1235.0,0.24,1.49,1235.0,1159.0,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
NBCC,1H,bearish,standard,91.36,91.69,-0.36,1.91,95.58,91.69,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
SUNDARMFIN,1H,bearish,standard,4407.5,4425.0,-0.4,1.39,4631.9,4425.0,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
KPIL,1D,bullish,standard,1447.7,1364.9,6.07,10.83,1364.9,1258.2,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
NATIONALUM,1D,bullish,standard,415.3,393.7,5.49,3.71,393.7,332.0,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
HINDCOPPER,1D,bullish,standard,557.2,552.0,0.94,3.67,552.0,469.0,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
PFIZER,1D,bullish,standard,5139.3,4934.6,4.15,2.28,4934.6,4502.6,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
PNB,1D,bullish,standard,118.39,115.37,2.62,1.98,115.37,104.59,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
MCX,1D,bullish,standard,2944.0,2942.1,0.06,1.8,2942.1,2565.5,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
BOSCHLTD,1D,bullish,standard,46610.0,45750.0,1.88,1.61,45750.0,39445.43,2026-08-12,20,True,True,2026-08-12T11:40:05+05:30
GODREJCP,1D,bearish,standard,917.4,1020.7,-10.12,20.24,1100.0,1020.7,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
JUBLPHARMA,1D,bearish,standard,900.5,910.6,-1.11,2.44,1036.63,910.6,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
FORTIS,1D,bearish,standard,884.4,903.35,-2.1,1.83,987.2,903.35,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
APOLLOHOSP,1D,bearish,standard,8546.5,8672.5,-1.45,1.47,9050.0,8672.5,2026-08-12,20,False,True,2026-08-12T11:40:05+05:30
FINCABLES,1W,bullish,standard,1312.75,1203.9,9.04,12.12,1203.9,765.5,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
ARE&M,1W,bullish,standard,990.85,957.0,3.54,3.91,957.0,666.01,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
GLAND,1W,bullish,standard,2900.1,2614.55,10.92,3.29,2614.55,1579.67,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
POLYMED,1W,bullish,standard,1857.9,1777.0,4.55,2.94,1777.0,1182.0,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
CHENNPETRO,1W,bullish,standard,1397.3,1297.42,7.7,2.57,1297.42,891.93,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
ZYDUSLIFE,1W,bullish,standard,1200.5,1180.44,1.7,1.96,1180.44,834.75,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
PAYTM,1W,bullish,standard,1598.6,1459.5,9.53,1.95,1459.5,930.6,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
SAPPHIRE,1W,bullish,standard,232.2,229.8,1.04,1.81,229.8,139.91,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
DEVYANI,1W,bullish,standard,140.67,135.98,3.45,1.64,135.98,91.55,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
SAILIFE,1W,bullish,standard,1468.0,1449.8,1.26,1.57,1449.8,927.05,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
NAUKRI,1W,bullish,standard,1349.6,1277.9,5.61,1.5,1277.9,905.51,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
BOSCHLTD,1W,bullish,standard,46610.0,43650.0,6.78,1.34,43650.0,28422.96,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
GODREJCP,1W,bearish,standard,917.4,962.27,-4.66,3.39,1142.32,962.27,2026-08-14,20,False,True,2026-08-12T11:40:05+05:30
GLAND,1M,bullish,standard,2900.0,2566.61,12.99,1.48,2566.61,1256.51,2026-08-31,20,False,True,2026-08-12T11:40:05+05:30
NEULANDLAB,1M,bullish,standard,22695.0,20051.94,13.18,1.47,20051.94,10163.49,2026-08-31,20,False,True,2026-08-12T11:40:05+05:30
BHEL,1H,bullish,standard,417.7,413.5,1.02,2.3,413.5,400.4,2026-08-12,20,False,True,2026-08-12T13:39:11+05:30
JMFINANCIL,1H,bullish,standard,129.53,129.35,0.14,1.31,129.35,125.42,2026-08-12,20,False,True,2026-08-12T13:39:11+05:30
NEWGEN,1H,bearish,standard,532.8,538.0,-0.97,4.51,571.05,538.0,2026-08-12,20,False,True,2026-08-12T13:39:11+05:30
PIIND,1H,bearish,standard,2495.0,2512.2,-0.68,3.33,2796.6,2512.2,2026-08-12,20,False,True,2026-08-12T13:39:11+05:30
CARTRADE,1H,bearish,standard,2714.1,2745.0,-1.13,1.97,2818.0,2745.0,2026-08-12,20,False,True,2026-08-12T13:39:11+05:30
TECHNOE,1H,bearish,standard,978.3,979.0,-0.07,1.86,1075.0,979.0,2026-08-12,20,False,True,2026-08-12T13:39:11+05:30
