symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
MRPL,1H,bullish,standard,171.91,170.8,0.65,8.78,170.8,161.82,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
CHENNPETRO,1H,bullish,standard,1353.3,1339.0,1.07,8.42,1339.0,1223.2,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
COHANCE,1H,bullish,standard,469.0,454.25,3.25,4.58,454.25,432.85,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
CCL,1H,bullish,standard,1143.9,1139.8,0.36,4.37,1139.8,1116.3,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
AJANTPHARM,1H,bullish,standard,3573.9,3539.0,0.99,4.21,3539.0,3442.5,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
NAUKRI,1H,bullish,standard,1364.8,1351.7,0.97,3.89,1351.7,1224.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
SCHAEFFLER,1H,bullish,standard,4188.4,4139.9,1.17,3.58,4139.9,4008.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
POLYMED,1H,bullish,standard,1886.3,1873.3,0.69,3.42,1873.3,1668.4,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
CONCORDBIO,1H,bullish,standard,1467.6,1455.1,0.86,3.17,1455.1,1356.4,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
ANTHEM,1H,bullish,standard,892.4,886.65,0.65,3.02,886.65,813.05,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
PINELABS,1H,bullish,standard,168.01,163.47,2.78,2.96,163.47,149.37,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
ENDURANCE,1H,bullish,standard,3020.0,3001.0,0.63,2.49,3001.0,2853.8,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
GRAPHITE,1H,bullish,standard,738.65,734.3,0.59,2.32,734.3,705.5,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
PAYTM,1H,bullish,standard,1618.2,1605.7,0.78,2.26,1605.7,1429.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
ATHERENERG,1H,bullish,standard,1526.8,1520.0,0.45,2.22,1520.0,1443.3,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
NUVAMA,1H,bullish,standard,1702.0,1693.9,0.48,2.15,1693.9,1579.9,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
DEVYANI,1H,bullish,standard,141.06,140.82,0.17,1.76,140.82,122.75,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
POLICYBZR,1H,bullish,standard,1673.3,1672.8,0.03,1.38,1672.8,1578.4,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
KEC,1H,bearish,standard,457.3,457.65,-0.08,6.11,480.45,457.65,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
SPLPETRO,1H,bearish,standard,687.5,690.0,-0.36,3.6,707.6,690.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
JAINREC,1H,bearish,standard,295.5,297.15,-0.56,2.46,319.8,297.15,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
POLYCAB,1H,bearish,standard,9069.5,9089.5,-0.22,2.45,9319.5,9089.5,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
GILLETTE,1H,bearish,standard,7614.0,7620.0,-0.08,2.26,7725.0,7620.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
SAGILITY,1H,bearish,standard,43.06,43.21,-0.35,2.12,44.4,43.21,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
SUNDARMFIN,1H,bearish,standard,4490.0,4522.0,-0.71,1.99,4738.3,4522.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
PCBL,1H,bearish,standard,318.5,318.7,-0.06,1.9,333.8,318.7,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
SBILIFE,1H,bearish,standard,1819.8,1828.7,-0.49,1.8,1886.0,1828.7,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
TATACOMM,1H,bearish,standard,1705.5,1716.1,-0.62,1.78,1783.8,1716.1,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
BBTC,1H,bearish,standard,1488.5,1490.0,-0.1,1.76,1527.8,1490.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
SHREECEM,1H,bearish,standard,25575.0,25690.0,-0.45,1.46,26915.0,25690.0,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
ANURAS,1H,bearish,standard,1204.5,1208.5,-0.33,1.37,1221.8,1208.5,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
POLYMED,1D,bullish,standard,1886.3,1818.9,3.71,4.5,1818.9,1611.1,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
ARE&M,1D,bullish,standard,959.55,957.0,0.27,4.46,957.0,859.05,2026-08-11,20,False,True,2026-08-11T11:15:31+05:30
