symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
UPL,1H,bullish,standard,622.1,613.0,1.48,2.4,613.0,583.95,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
JSL,1H,bullish,standard,738.85,734.95,0.53,1.83,734.95,700.9,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
GODFRYPHLP,1H,bullish,standard,2123.9,2115.0,0.42,1.76,2115.0,2062.9,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
RRKABEL,1H,bullish,standard,2407.0,2395.0,0.5,1.25,2395.0,2285.0,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
DOMS,1H,bearish,standard,2252.1,2263.7,-0.51,1.74,2368.9,2263.7,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
TVSMOTOR,1H,bearish,standard,3575.0,3576.7,-0.05,1.6,3687.6,3576.7,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
HUDCO,1H,bearish,standard,201.9,202.77,-0.43,1.42,210.97,202.77,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
ABB,1D,bullish,standard,7800.0,7304.0,6.79,7.63,7304.0,6715.5,2026-07-16,20,True,True,2026-07-16T12:43:07+05:30
CHENNPETRO,1D,bullish,standard,1237.9,1233.4,0.36,7.31,1233.4,1080.0,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
SRF,1D,bullish,standard,2879.7,2859.5,0.71,2.97,2859.5,2648.8,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
DIXON,1D,bullish,standard,14500.0,14030.0,3.35,2.72,14030.0,11716.0,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
CRISIL,1D,bullish,standard,4286.8,4250.0,0.87,1.77,4250.0,3855.0,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
IPCALAB,1D,bullish,standard,1897.7,1850.5,2.55,1.72,1850.5,1530.0,2026-07-16,20,True,True,2026-07-16T12:43:07+05:30
HSCL,1D,bullish,standard,725.5,718.0,1.04,1.71,718.0,630.05,2026-07-16,20,True,True,2026-07-16T12:43:07+05:30
IIFL,1D,bullish,standard,566.5,560.95,0.99,1.39,560.95,486.5,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
ICICIGI,1D,bearish,standard,1602.7,1733.0,-7.52,14.32,1893.5,1733.0,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
GODIGIT,1D,bearish,standard,285.9,292.3,-2.19,2.17,332.95,292.3,2026-07-16,20,False,True,2026-07-16T12:43:07+05:30
CANHLIFE,1W,bullish,standard,153.24,152.69,0.36,9.17,152.69,132.2,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
KALYANKJIL,1W,bullish,standard,543.4,483.4,12.41,4.81,483.4,327.05,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
BIOCON,1W,bullish,standard,443.15,439.87,0.74,3.09,439.87,337.3,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
JUBLPHARMA,1W,bullish,standard,1032.0,1031.7,0.03,2.02,1031.7,786.05,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
MAPMYINDIA,1W,bullish,standard,1174.75,1126.9,4.25,1.69,1126.9,795.0,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
FLUOROCHEM,1W,bullish,standard,4116.1,4038.0,1.93,1.48,4038.0,2925.1,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
ATHERENERG,1W,bullish,standard,1289.6,1242.9,3.76,1.43,1242.9,650.6,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
WELCORP,1W,bullish,standard,1664.2,1634.0,1.85,1.42,1634.0,756.49,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
BALRAMCHIN,1W,bullish,standard,598.2,579.6,3.21,1.31,579.6,443.0,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
ABB,1W,bullish,standard,7800.0,7790.64,0.12,1.3,7790.64,5751.48,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
PATANJALI,1W,bearish,standard,346.55,406.35,-14.72,7.08,535.6,406.35,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
ICICIGI,1W,bearish,standard,1602.7,1623.34,-1.27,3.99,1960.46,1623.34,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
TATAELXSI,1W,bearish,standard,3550.0,3562.0,-0.34,2.4,4787.15,3562.0,2026-07-17,20,False,True,2026-07-16T12:43:07+05:30
CGCL,1M,bullish,standard,254.88,231.36,10.17,1.51,231.36,150.35,2026-07-31,20,False,True,2026-07-16T12:43:07+05:30
WELCORP,1M,bullish,standard,1664.2,1525.0,9.13,1.47,1525.0,644.52,2026-07-31,20,False,True,2026-07-16T12:43:07+05:30
BIOCON,1M,bullish,standard,443.15,439.87,0.74,1.38,439.87,290.26,2026-07-31,20,False,True,2026-07-16T12:43:07+05:30
PHOENIXLTD,1M,bullish,standard,2105.5,1993.0,5.64,1.29,1993.0,1389.87,2026-07-31,20,False,True,2026-07-16T12:43:07+05:30
PATANJALI,1M,bearish,standard,346.55,406.35,-14.72,2.25,665.11,406.35,2026-07-31,20,False,True,2026-07-16T12:43:07+05:30
KPITTECH,1M,bearish,standard,553.2,624.9,-11.47,1.92,1549.42,624.9,2026-07-31,20,False,True,2026-07-16T12:43:07+05:30
GRAPHITE,1H,bullish,standard,654.1,644.9,1.43,15.68,644.9,618.5,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
BHEL,1H,bullish,standard,432.4,425.05,1.73,14.41,425.05,401.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
JSWDULUX,1H,bullish,standard,3066.4,3005.0,2.04,13.58,3005.0,2878.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
ABREL,1H,bullish,standard,1458.3,1445.9,0.86,11.45,1445.9,1406.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
IEX,1H,bullish,standard,124.18,122.99,0.97,8.21,122.99,116.36,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
HEG,1H,bullish,standard,605.8,598.75,1.18,4.31,598.75,565.05,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
BAYERCROP,1H,bullish,standard,4215.1,4213.9,0.03,3.58,4213.9,4060.1,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
NAUKRI,1H,bullish,standard,1208.4,1205.0,0.28,3.44,1205.0,1175.05,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
INDIACEM,1H,bullish,standard,397.55,397.25,0.08,3.12,397.25,374.1,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
CIEINDIA,1H,bullish,standard,472.45,470.3,0.46,2.99,470.3,457.05,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
ERIS,1H,bullish,standard,1497.0,1479.3,1.2,1.7,1479.3,1434.9,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
APTUS,1H,bullish,standard,299.75,299.5,0.08,1.7,299.5,285.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
ITCHOTELS,1H,bearish,standard,174.13,175.38,-0.71,8.16,186.91,175.38,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
ASAHIINDIA,1H,bearish,standard,897.55,904.2,-0.74,3.62,939.85,904.2,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
JSWSTEEL,1H,bearish,standard,1219.7,1220.6,-0.07,2.87,1253.7,1220.6,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
GILLETTE,1H,bearish,standard,7787.0,7789.0,-0.03,2.65,7925.0,7789.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
DABUR,1H,bearish,standard,429.05,429.6,-0.13,2.53,440.3,429.6,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
CAMS,1H,bearish,standard,751.0,751.85,-0.11,2.41,787.1,751.85,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
APLAPOLLO,1H,bearish,standard,1790.3,1795.5,-0.29,2.33,1830.1,1795.5,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
AFCONS,1H,bearish,standard,285.0,285.1,-0.04,1.77,299.55,285.1,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
COROMANDEL,1H,bearish,standard,2026.1,2034.1,-0.39,1.6,2101.4,2034.1,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
ATGL,1H,bearish,standard,707.95,711.75,-0.53,1.44,740.35,711.75,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
HINDZINC,1H,bearish,standard,521.75,522.55,-0.15,1.4,536.35,522.55,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
GESHIP,1H,bearish,standard,1375.2,1375.5,-0.02,1.38,1459.0,1375.5,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
IRFC,1H,bearish,standard,88.33,88.42,-0.1,1.34,89.99,88.42,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
INDIANB,1H,bearish,standard,820.4,821.9,-0.18,1.31,849.6,821.9,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
MRPL,1D,bullish,standard,172.6,170.0,1.53,29.27,170.0,144.3,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
ABB,1D,bullish,standard,7675.0,7304.0,5.08,8.52,7304.0,6715.5,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
CHENNPETRO,1D,bullish,standard,1239.1,1233.4,0.46,7.94,1233.4,1080.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
DIXON,1D,bullish,standard,14518.0,14030.0,3.48,3.67,14030.0,11716.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
SRF,1D,bullish,standard,2887.2,2859.5,0.97,3.62,2859.5,2648.8,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
IPCALAB,1D,bullish,standard,1893.9,1881.4,0.66,3.1,1881.4,1530.0,2026-07-16,20,True,True,2026-07-16T15:18:41+05:30
BHEL,1D,bullish,standard,432.4,424.0,1.98,2.97,424.0,371.8,2026-07-16,20,True,True,2026-07-16T15:18:41+05:30
HSCL,1D,bullish,standard,723.4,718.0,0.75,2.42,718.0,630.05,2026-07-16,20,True,True,2026-07-16T15:18:41+05:30
INDIACEM,1D,bullish,standard,397.55,392.3,1.34,2.34,392.3,367.4,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
IIFL,1D,bullish,standard,567.2,560.95,1.11,2.31,560.95,486.5,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
PGEL,1D,bullish,standard,621.35,610.5,1.78,2.13,610.5,530.6,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
UPL,1D,bullish,standard,625.1,617.7,1.2,1.96,617.7,563.15,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
ERIS,1D,bullish,standard,1494.2,1488.0,0.42,1.89,1488.0,1391.7,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
DEEPAKNTR,1D,bullish,standard,1744.0,1740.0,0.23,1.76,1740.0,1534.0,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
HEG,1D,bullish,standard,605.8,589.9,2.7,1.67,589.9,509.1,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
GODIGIT,1D,bearish,standard,284.85,292.3,-2.55,2.99,332.95,292.3,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
LT,1D,bearish,standard,3776.0,3778.6,-0.07,1.37,4272.3,3778.6,2026-07-16,20,False,True,2026-07-16T15:18:41+05:30
CANHLIFE,1W,bullish,standard,153.5,152.69,0.53,10.23,152.69,132.2,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
KALYANKJIL,1W,bullish,standard,546.3,483.4,13.01,4.92,483.4,327.05,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
BIOCON,1W,bullish,standard,441.1,439.87,0.28,3.17,439.87,337.3,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
TORNTPHARM,1W,bullish,standard,4968.1,4948.0,0.41,2.38,4948.0,3863.42,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
FLUOROCHEM,1W,bullish,standard,4130.7,4038.0,2.3,1.76,4038.0,2925.1,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
MAPMYINDIA,1W,bullish,standard,1181.45,1126.9,4.84,1.73,1126.9,795.0,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
WELCORP,1W,bullish,standard,1684.8,1634.0,3.11,1.59,1634.0,756.49,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
DIVISLAB,1W,bullish,standard,7313.0,6968.0,4.95,1.57,6968.0,5647.5,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
ATHERENERG,1W,bullish,standard,1261.0,1242.9,1.46,1.54,1242.9,650.6,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
GABRIEL,1W,bullish,standard,1366.7,1292.3,5.76,1.52,1292.3,795.7,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
BALRAMCHIN,1W,bullish,standard,595.8,579.6,2.8,1.48,579.6,443.0,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
PATANJALI,1W,bearish,standard,346.35,406.35,-14.77,7.4,535.6,406.35,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
ICICIGI,1W,bearish,standard,1622.4,1623.34,-0.06,5.02,1960.46,1623.34,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
TATAELXSI,1W,bearish,standard,3541.1,3562.0,-0.59,2.48,4787.15,3562.0,2026-07-17,20,False,True,2026-07-16T15:18:41+05:30
CGCL,1M,bullish,standard,259.02,231.36,11.96,1.57,231.36,150.35,2026-07-31,20,False,True,2026-07-16T15:18:41+05:30
WELCORP,1M,bullish,standard,1684.8,1525.0,10.48,1.53,1525.0,644.52,2026-07-31,20,False,True,2026-07-16T15:18:41+05:30
BIOCON,1M,bullish,standard,441.1,439.87,0.28,1.4,439.87,290.26,2026-07-31,20,False,True,2026-07-16T15:18:41+05:30
PHOENIXLTD,1M,bullish,standard,2084.7,1993.0,4.6,1.35,1993.0,1389.87,2026-07-31,20,False,True,2026-07-16T15:18:41+05:30
PATANJALI,1M,bearish,standard,346.35,406.35,-14.77,2.34,665.11,406.35,2026-07-31,20,False,True,2026-07-16T15:18:41+05:30
KPITTECH,1M,bearish,standard,551.7,624.9,-11.71,1.93,1549.42,624.9,2026-07-31,20,False,True,2026-07-16T15:18:41+05:30
