symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
GALLANTT,1H,bearish,standard,667.9,675.0,-1.05,1.49,705.0,675.0,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
INDIACEM,1D,bullish,standard,406.15,392.3,3.53,3.14,392.3,367.4,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
TECHM,1D,bullish,standard,1555.8,1524.8,2.03,2.85,1524.8,1309.96,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
EXIDEIND,1D,bullish,standard,431.7,431.0,0.16,2.27,431.0,375.9,2026-07-17,20,True,True,2026-07-17T12:44:44+05:30
SONACOMS,1D,bullish,standard,700.75,690.85,1.43,1.55,690.85,596.57,2026-07-17,20,True,True,2026-07-17T12:44:44+05:30
BALRAMCHIN,1D,bullish,standard,609.1,604.9,0.69,1.4,604.9,523.0,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
KALYANKJIL,1W,bullish,standard,560.6,483.4,15.97,5.36,483.4,327.05,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
MAPMYINDIA,1W,bullish,standard,1175.75,1126.9,4.33,1.79,1126.9,795.0,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
BALRAMCHIN,1W,bullish,standard,609.1,579.6,5.09,1.76,579.6,443.0,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
BHEL,1W,bullish,standard,428.1,423.53,1.08,1.7,423.53,238.4,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
FLUOROCHEM,1W,bullish,standard,4064.4,4038.0,0.65,1.43,4038.0,2925.1,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
GABRIEL,1W,bullish,standard,1324.2,1292.3,2.47,1.39,1292.3,795.7,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
DIVISLAB,1W,bullish,standard,7242.5,6968.0,3.94,1.34,6968.0,5647.5,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
DIXON,1W,bullish,standard,14453.0,14030.0,3.01,1.33,14030.0,9600.0,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
ECLERX,1W,bullish,standard,1798.6,1797.45,0.06,1.28,1797.45,1320.0,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
PATANJALI,1W,bearish,standard,344.45,406.35,-15.23,7.84,535.6,406.35,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
ICICIGI,1W,bearish,standard,1598.7,1623.34,-1.52,5.95,1960.46,1623.34,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
TATAELXSI,1W,bearish,standard,3491.5,3562.0,-1.98,2.68,4787.15,3562.0,2026-07-17,20,False,True,2026-07-17T12:44:44+05:30
CGCL,1M,bullish,standard,254.9,231.36,10.17,1.54,231.36,150.35,2026-07-31,20,False,True,2026-07-17T12:44:44+05:30
WELCORP,1M,bullish,standard,1613.4,1525.0,5.8,1.48,1525.0,644.52,2026-07-31,20,False,True,2026-07-17T12:44:44+05:30
PATANJALI,1M,bearish,standard,344.45,406.35,-15.23,2.46,665.11,406.35,2026-07-31,20,False,True,2026-07-17T12:44:44+05:30
KPITTECH,1M,bearish,standard,550.9,624.9,-11.84,1.96,1549.42,624.9,2026-07-31,20,False,True,2026-07-17T12:44:44+05:30
