symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
JSWSTEEL,1256.97,V+N,0.8,above,1267.0,1256.97,1256.93,1256.97,1256.9,0.005,1.6,0.024,1,2026-07-20,2026-07-22,True,True,5.0,2026-07-22T13:07:40+05:30
HUDCO,201.9,V+N,-3.05,below,195.75,201.9,201.91,201.91,201.9,0.007,1.9,0.036,1,2026-07-20,2026-07-22,True,True,5.0,2026-07-22T13:07:40+05:30
BALRAMCHIN,600.12,V+N,2.98,above,618.0,600.12,600.1,600.12,600.07,0.008,3.0,0.029,1,2026-07-20,2026-07-22,True,True,5.0,2026-07-22T13:07:40+05:30
AMBUJACEM,440.73,V+N,-2.22,below,430.95,440.73,440.77,440.81,440.73,0.019,3.6,0.035,1,2026-07-21,2026-07-22,True,True,5.0,2026-07-22T13:07:40+05:30
YESBANK,23.14,V+N,1.09,above,23.39,23.14,23.13,23.14,23.13,0.029,3.8,0.04,1,2026-07-21,2026-07-22,True,True,5.0,2026-07-22T13:07:40+05:30
HDFCAMC,2599.62,V+W,-1.81,below,2552.5,2599.62,2618.13,2636.65,2599.62,1.414,97.0,0.025,1,2026-07-21,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
BANKBARODA,249.18,V+W,-1.78,below,244.75,249.18,250.67,252.15,249.18,1.184,97.5,0.012,1,2026-07-21,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
MAPMYINDIA,1108.23,V+W,-6.52,below,1036.0,1108.23,1119.47,1130.7,1108.23,2.007,97.5,0.027,1,2026-07-20,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
M&MFIN,346.97,V+W,8.08,above,375.0,346.97,344.08,346.97,341.2,1.676,98.1,0.046,1,2026-07-21,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
PAYTM,1312.52,V+W,-2.65,below,1277.7,1312.52,1324.53,1336.55,1312.52,1.814,98.1,0.058,1,2026-07-21,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
TORNTPHARM,4964.45,V+W,0.42,above,4985.1,4964.45,4923.5,4964.45,4882.55,1.663,99.2,0.025,1,2026-07-20,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
TVSMOTOR,3759.13,V+W,4.53,above,3929.6,3759.13,3726.27,3759.13,3693.4,1.764,99.5,0.019,1,2026-07-21,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
KARURVYSYA,336.1,V+W,0.49,above,337.75,336.1,331.9,336.1,327.7,2.531,99.7,0.038,1,2026-07-21,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
NETWEB,4176.95,V,2.61,above,4285.9,4176.95,4175.8,4176.95,4174.65,0.055,5.2,0.054,1,2026-07-20,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
IIFL,558.1,V,1.65,above,567.3,558.1,557.97,558.1,557.83,0.048,6.3,0.036,1,2026-07-20,2026-07-22,True,False,5.0,2026-07-22T13:07:40+05:30
