symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
CHAMBLFERT,454.23,V+N,-3.25,below,439.45,454.23,454.25,454.27,454.23,0.011,1.9,0.03,1,2026-07-17,2026-07-21,True,True,5.0,2026-07-21T13:02:22+05:30
PIDILITIND,1566.00,V+N,0.43,above,1572.7,1566.0,1565.93,1566.0,1565.87,0.009,2.2,0.025,1,2026-07-20,2026-07-21,True,True,5.0,2026-07-21T13:02:22+05:30
CRAFTSMAN,9104.08,V+N,0.76,above,9173.0,9104.08,9103.17,9104.08,9102.25,0.02,2.5,0.046,1,2026-07-17,2026-07-21,True,True,5.0,2026-07-21T13:02:22+05:30
ANANDRATHI,2072.58,V+N,0.57,above,2084.3,2072.58,2072.47,2072.58,2072.35,0.011,3.0,0.023,1,2026-07-17,2026-07-21,True,True,5.0,2026-07-21T13:02:22+05:30
EMCURE,1782.97,V+N,5.66,above,1883.9,1782.97,1782.73,1782.97,1782.5,0.026,4.4,0.031,1,2026-07-17,2026-07-21,True,True,5.0,2026-07-21T13:02:22+05:30
JSL,737.35,V+N,0.52,above,741.2,737.35,737.2,737.35,737.05,0.041,4.7,0.043,1,2026-07-17,2026-07-21,True,True,5.0,2026-07-21T13:02:22+05:30
UCOBANK,26.06,V+N,2.5,above,26.71,26.06,26.06,26.06,26.06,0.013,4.9,0.013,1,2026-07-17,2026-07-21,True,True,5.0,2026-07-21T13:02:22+05:30
NAVINFLUOR,7803.50,V+W,0.91,above,7874.5,7803.5,7745.5,7803.5,7687.5,1.498,97.0,0.046,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
SARDAEN,502.50,V,0.5,above,505.0,502.5,502.42,502.5,502.33,0.033,5.2,0.031,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
ADANIENT,3162.40,V,0.94,above,3192.0,3162.4,3161.83,3162.4,3161.27,0.036,7.4,0.026,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
CYIENT,849.55,V,-0.83,below,842.5,849.55,849.75,849.95,849.55,0.047,8.2,0.024,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
SPLPETRO,693.64,V,2.46,above,710.7,693.64,693.38,693.64,693.12,0.075,8.8,0.04,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
LGEINDIA,1582.03,V,-0.87,below,1568.3,1582.03,1582.27,1582.5,1582.03,0.029,8.9,0.008,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
LENSKART,541.43,V,1.47,above,549.4,541.43,541.17,541.43,540.9,0.099,10.9,0.03,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
IRB,20.02,V,-0.53,below,19.91,20.02,20.02,20.03,20.02,0.067,11.0,0.038,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
HINDZINC,518.11,V,3.04,above,533.85,518.11,517.87,518.11,517.62,0.093,11.8,0.038,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
MARUTI,13792.50,V,-2.77,below,13411.0,13792.5,13796.0,13799.5,13792.5,0.051,12.1,0.017,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
PIIND,2626.40,V,1.79,above,2673.4,2626.4,2625.53,2626.4,2624.67,0.066,12.1,0.032,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
WELCORP,1614.92,V,1.11,above,1632.9,1614.92,1614.03,1614.92,1613.15,0.109,12.1,0.051,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
AUROPHARMA,1535.20,V,2.14,above,1568.1,1535.2,1534.6,1535.2,1534.0,0.078,12.3,0.038,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
BAYERCROP,4232.43,V,3.7,above,4389.2,4232.43,4230.77,4232.43,4229.1,0.079,13.4,0.031,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
HFCL,208.43,V,2.25,above,213.11,208.43,208.3,208.43,208.16,0.128,13.4,0.028,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
LINDEINDIA,7105.75,V,-1.24,below,7017.5,7105.75,7108.67,7111.58,7105.75,0.082,14.0,0.025,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
USHAMART,494.68,V,1.32,above,501.2,494.68,494.4,494.68,494.12,0.111,14.2,0.04,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
JWL,254.47,V,-1.76,below,250.0,254.47,254.63,254.8,254.47,0.131,14.5,0.044,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
DMART,3958.25,V,0.21,above,3966.6,3958.25,3956.13,3958.25,3954.02,0.107,16.7,0.028,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
NAUKRI,1193.60,V,1.36,above,1209.8,1193.6,1192.9,1193.6,1192.2,0.117,16.7,0.023,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
APOLLOHOSP,8837.00,V,0.54,above,8884.5,8837.0,8833.33,8837.0,8829.67,0.083,17.5,0.018,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
APLAPOLLO,1798.30,V,1.21,above,1820.0,1798.3,1797.33,1798.3,1796.37,0.108,17.8,0.017,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
BIKAJI,639.48,V,1.13,above,646.7,639.48,639.12,639.48,638.76,0.112,17.8,0.02,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
JINDALSTEL,1027.10,V,1.55,above,1043.0,1027.1,1026.4,1027.1,1025.7,0.136,17.8,0.035,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
SOLARINDS,18451.50,V,2.31,above,18878.0,18451.5,18436.0,18451.5,18420.5,0.168,18.4,0.057,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
CHENNPETRO,1212.83,V,3.35,above,1253.5,1212.83,1211.67,1212.83,1210.5,0.193,19.2,0.027,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
TTML,40.21,V,0.36,above,40.35,40.21,40.17,40.21,40.14,0.174,19.2,0.046,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
PVRINOX,1001.62,V,0.12,above,1002.8,1001.62,1000.83,1001.62,1000.04,0.158,20.0,0.03,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
FORCEMOT,18273.67,V,-2.59,below,17800.0,18273.67,18303.33,18333.0,18273.67,0.324,21.6,0.052,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
BLUEJET,583.78,V,0.71,above,587.9,583.78,583.02,583.78,582.25,0.263,21.9,0.037,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
IPCALAB,1895.85,V,-5.26,below,1796.2,1895.85,1897.43,1899.02,1895.85,0.167,21.9,0.032,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
MRF,130602.50,V,1.87,above,133050.0,130602.5,130510.0,130602.5,130417.5,0.142,22.5,0.037,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
CHOLAFIN,1799.75,V,-2.21,below,1759.9,1799.75,1801.47,1803.18,1799.75,0.191,22.7,0.034,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
GVT&D,4439.75,V,0.62,above,4467.3,4439.75,4434.6,4439.75,4429.45,0.232,23.0,0.022,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
TRAVELFOOD,1292.40,V,0.16,above,1294.5,1292.4,1291.2,1292.4,1290.0,0.186,23.3,0.031,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
GABRIEL,1396.02,V,5.92,above,1478.6,1396.02,1394.03,1396.02,1392.05,0.285,24.1,0.033,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
JKCEMENT,5406.00,V,4.19,above,5632.5,5406.0,5401.0,5406.0,5396.0,0.185,24.7,0.033,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
FSL,266.07,V,0.71,above,267.96,266.07,265.76,266.07,265.46,0.232,24.9,0.033,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
JPPOWER,16.94,V,3.54,above,17.54,16.94,16.92,16.94,16.89,0.276,25.5,0.037,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
APTUS,305.80,V,-0.54,below,304.15,305.8,306.15,306.5,305.8,0.229,27.7,0.024,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
DCMSHRIRAM,1021.72,V,2.19,above,1044.1,1021.72,1020.53,1021.72,1019.35,0.232,27.9,0.024,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
BHARTIHEXA,1610.85,V,2.73,above,1654.9,1610.85,1609.07,1610.85,1607.28,0.222,29.6,0.037,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
KPITTECH,560.53,V,0.13,above,561.25,560.53,559.85,560.53,559.18,0.241,29.6,0.039,1,2026-07-20,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
KPRMILL,1139.36,V,-2.9,below,1106.3,1139.36,1140.93,1142.49,1139.36,0.274,30.1,0.054,1,2026-07-17,2026-07-21,True,False,5.0,2026-07-21T13:02:22+05:30
