symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
SWANCORP,316.37,TOUCHED,-0.27,below,315.5,316.37,317.18,318.0,316.37,0.515,46.6,0.034,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
JUBLINGREA,728.92,TOUCHED,1.85,above,742.4,728.92,727.3,728.92,725.67,0.447,46.8,0.036,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
PIIND,2549.25,TOUCHED,2.5,above,2613.0,2549.25,2545.23,2549.25,2541.22,0.316,46.8,0.032,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
BATAINDIA,684.43,TOUCHED,-0.59,below,680.4,684.43,685.62,686.8,684.43,0.345,47.7,0.023,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
COCHINSHIP,1400.30,TOUCHED,0.78,above,1411.2,1400.3,1397.13,1400.3,1393.97,0.453,47.7,0.041,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
MEDANTA,1329.10,TOUCHED,0.07,above,1330.0,1329.1,1326.37,1329.1,1323.63,0.412,47.7,0.028,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
AMBUJACEM,431.83,TOUCHED,0.71,above,434.9,431.83,431.15,431.83,430.47,0.313,48.2,0.038,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
GODREJCP,1056.40,TOUCHED,-0.23,below,1054.0,1056.4,1058.13,1059.87,1056.4,0.328,48.2,0.035,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
IREDA,122.34,TOUCHED,-0.76,below,121.41,122.34,122.59,122.85,122.34,0.416,48.5,0.051,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
INDIAMART,1930.50,TOUCHED,1.07,above,1951.2,1930.5,1927.33,1930.5,1924.17,0.329,48.8,0.025,0,2026-07-14,2026-07-15,False,False,5.0,2026-07-15T15:12:08+05:30
